epigenome	mark	ChromImpute_top1%	ChromImpute_corr_clip500	Average_top1%	Average_corr_clip500
IHECRE00001014.4	H3K27ac	72.3667	0.8699	40.7805	0.5778
IHECRE00001015.4	H3K27ac	73.3145	0.8944	60.9568	0.8027
IHECRE00001016.4	H3K27ac	75.0371	0.9063	42.0164	0.6106
IHECRE00001017.4	H3K27ac	78.2923	0.922	44.4035	0.6341
IHECRE00001018.4	H3K27ac	62.0725	0.8059	41.5589	0.6012
IHECRE00001019.4	H3K27ac	66.3408	0.8399	41.0309	0.5805
IHECRE00001020.4	H3K27ac	62.041	0.7894	39.7587	0.5514
IHECRE00001021.4	H3K27ac	66.7185	0.847	41.7169	0.5982
IHECRE00001022.4	H3K27ac	74.208	0.9077	46.8298	0.6565
IHECRE00001023.7	H3K27ac	42.7007	0.6308	25.8395	0.4289
IHECRE00001024.7	H3K27ac	60.2217	0.7614	52.1257	0.7368
IHECRE00001025.7	H3K27ac	75.0196	0.8949	54.4501	0.7484
IHECRE00001026.7	H3K27ac	57.2568	0.7519	46.0872	0.6855
IHECRE00001027.7	H3K27ac	68.2868	0.8279	48.0363	0.7289
IHECRE00001030.7	H3K27ac	72.3257	0.8897	49.5979	0.7404
IHECRE00001031.6	H3K27ac	74.9291	0.8605	46.0481	0.7051
IHECRE00001033.7	H3K27ac	62.2018	0.8224	43.5181	0.6842
IHECRE00001035.6	H3K27ac	53.5397	0.7607	46.6494	0.7266
IHECRE00001036.6	H3K27ac	76.931	0.8877	54.6769	0.7628
IHECRE00001039.6	H3K27ac	39.4958	0.5829	30.1062	0.4656
IHECRE00001041.8	H3K27ac	64.952	0.7656	40.7674	0.5424
IHECRE00001043.7	H3K27ac	72.0161	0.8557	46.0747	0.6409
IHECRE00001044.7	H3K27ac	66.344	0.7719	50.0434	0.7137
IHECRE00001048.6	H3K27ac	65.7612	0.8356	41.4089	0.5203
IHECRE00001050.8	H3K27ac	60.8715	0.7636	28.4076	0.4305
IHECRE00001052.6	H3K27ac	75.0275	0.9207	56.6661	0.7914
IHECRE00001054.7	H3K27ac	52.1106	0.7386	24.9275	0.4076
IHECRE00001055.7	H3K27ac	51.2839	0.7546	24.483	0.4265
IHECRE00001232.5	H3K27ac	71.3895	0.8741	45.3485	0.6506
IHECRE00001233.5	H3K27ac	60.2823	0.7954	36.6319	0.5677
IHECRE00001234.5	H3K27ac	66.6852	0.8464	39.5806	0.6043
IHECRE00001235.5	H3K27ac	60.2656	0.8022	40.2805	0.622
IHECRE00001236.5	H3K27ac	55.415	0.7751	37.3381	0.6007
IHECRE00001237.1	H3K27ac	46.0822	0.7968	38.0809	0.7246
IHECRE00001238.1	H3K27ac	64.2657	0.9099	42.9878	0.7288
IHECRE00001239.1	H3K27ac	68.8245	0.9008	50.6018	0.7847
IHECRE00001240.1	H3K27ac	NA	NA	52.0606	0.811
IHECRE00001241.1	H3K27ac	NA	NA	52.0326	0.7934
IHECRE00001242.1	H3K27ac	74.2227	0.8588	55.9672	0.7735
IHECRE00001243.1	H3K27ac	NA	NA	39.6813	0.5105
IHECRE00001244.1	H3K27ac	17.8252	0.3538	14.4353	0.2959
IHECRE00001245.1	H3K27ac	NA	NA	47.4211	0.7197
IHECRE00001246.1	H3K27ac	59.4493	0.7887	50.8089	0.7207
IHECRE00001247.1	H3K27ac	NA	NA	52.5525	0.8059
IHECRE00001248.1	H3K27ac	77.3366	0.8796	45.0026	0.6146
IHECRE00001249.1	H3K27ac	81.6371	0.8746	62.6371	0.8355
IHECRE00001250.1	H3K27ac	82.5697	0.924	53.1777	0.7006
IHECRE00001251.1	H3K27ac	40.6989	0.5975	25.2011	0.4292
IHECRE00001252.1	H3K27ac	79.458	0.8741	54.5015	0.7223
IHECRE00001254.1	H3K27ac	NA	NA	54.8673	0.8203
IHECRE00001255.1	H3K27ac	79.4642	0.9065	54.1797	0.7788
IHECRE00001256.1	H3K27ac	70.2425	0.8793	49.7947	0.745
IHECRE00001257.1	H3K27ac	NA	NA	53.3015	0.8098
IHECRE00001258.1	H3K27ac	NA	NA	52.4712	0.7861
IHECRE00001259.1	H3K27ac	NA	NA	52.6228	0.8079
IHECRE00001261.1	H3K27ac	NA	NA	53.062	0.8087
IHECRE00001262.1	H3K27ac	NA	NA	51.08	0.7775
IHECRE00001263.1	H3K27ac	87.8947	0.9329	58.8736	0.7818
IHECRE00001266.1	H3K27ac	NA	NA	56.7766	0.8436
IHECRE00001267.1	H3K27ac	65.7018	0.812	45.4962	0.7053
